FST info: dumpfile ReLU_tb.vcd opened for output.
+-------------------------------------------------------------------------------+
|  TIME  |                IN                ||                OUT               |
+-------------------------------------------------------------------------------+
+-------------------------------------------------------------------------------+
|                               Test Case n* 1                                  |
+-------------------------------------------------------------------------------+
| 002380 | 01111110101101101111101011111101 || 01111110101101101111101011111101 |
| 002390 | 00111100100100111100101001111001 || 00111100100100111100101001111001 |
| 002400 | 01001100101000101001000010011001 || 01001100101000101001000010011001 |
| 002410 | 00101111011001110010111101011110 || 00101111011001110010111101011110 |
| 002420 | 01100001001001111110011011000010 || 01100001001001111110011011000010 |
| 002430 | 00111001001001001101001001110010 || 00111001001001001101001001110010 |
| 002440 | 01110010101000011110011111100101 || 01110010101000011110011111100101 |
| 002450 | 01101010010101000011110011010100 || 01101010010101000011110011010100 |
| 002460 | 00101000010010101101010001010000 || 00101000010010101101010001010000 |
| 002470 | 01100011101100101101010011000111 || 01100011101100101101010011000111 |
| 002480 | 00111110110001011011010101111101 || 00111110110001011011010101111101 |
| 002490 | 00000010111100101000111100000101 || 00000010111100101000111100000101 |
| 002500 | 00111011110000010100100001110111 || 00111011110000010100100001110111 |
| 002510 | 01110010011001000001111011100100 || 01110010011001000001111011100100 |
| 002520 | 01001101101100000111001010011011 || 01001101101100000111001010011011 |
| 002530 | 00011101010110001010010000111010 || 00011101010110001010010000111010 |
| 002540 | 00100011111101000010101101000111 || 00100011111101000010101101000111 |
| 002550 | 01011010111001101101111110110101 || 01011010111001101101111110110101 |
| 002560 | 01100010001100101111001111000100 || 01100010001100101111001111000100 |
| 002570 | 00101011100111111101101001010111 || 00101011100111111101101001010111 |
| 002580 | 01100110111110011100000011001101 || 01100110111110011100000011001101 |
| 002590 | 01100100100111110010001011001001 || 01100100100111110010001011001001 |
| 002600 | 01001010001000100110111110010100 || 01001010001000100110111110010100 |
| 002610 | 00001011010000100111000000010110 || 00001011010000100111000000010110 |
| 002620 | 01010010110110111010111110100101 || 01010010110110111010111110100101 |
| 002630 | 00110000101101001101100001100001 || 00110000101101001101100001100001 |
| 002640 | 00000111100011100111101100001111 || 00000111100011100111101100001111 |
| 002650 | 01000011010110011000001010000110 || 01000011010110011000001010000110 |
| 002660 | 01111011001111001111111011110110 || 01111011001111001111111011110110 |
| 002670 | 01000110000000011100111010001100 || 01000110000000011100111010001100 |
| 002680 | 01110100010101110000110111101000 || 01110100010101110000110111101000 |
| 002690 | 00100001101110110000111001000011 || 00100001101110110000111001000011 |
| 002700 | 00010000011000000001001000100000 || 00010000011000000001001000100000 |
| 002710 | 00001110110111111011001000011101 || 00001110110111111011001000011101 |
| 002720 | 01110110001000100111110011101100 || 01110110001000100111110011101100 |
| 002730 | 01010100111101111111010010101001 || 01010100111101111111010010101001 |
| 002740 | 00010101100011001011000100101011 || 00010101100011001011000100101011 |
| 002750 | 00010110110101100001000100101101 || 00010110110101100001000100101101 |
| 002760 | 00111000101100110111110101110001 || 00111000101100110111110101110001 |
| 002770 | 00000001001110011111000100000010 || 00000001001110011111000100000010 |
| 002780 | 01011100110101100000000110111001 || 01011100110101100000000110111001 |
| 002790 | 00110110001010000101101001101100 || 00110110001010000101101001101100 |
| 002800 | 01000100100111110010011010001001 || 01000100100111110010011010001001 |
| 002810 | 00101110000000011010001001011100 || 00101110000000011010001001011100 |
| 002820 | 00001110010000001000100100011100 || 00001110010000001000100100011100 |
| 002830 | 00111001010000111101101101110010 || 00111001010000111101101101110010 |
| 002840 | 00101000011000101110111001010000 || 00101000011000101110111001010000 |
| 002850 | 01001010110001001000011110010101 || 01001010110001001000011110010101 |
| 002860 | 01100000010010000010111011000000 || 01100000010010000010111011000000 |
| 002870 | 01110010000011011100001011100100 || 01110010000011011100001011100100 |
| 002880 | 01001001110110101010101010010011 || 01001001110110101010101010010011 |
| 002890 | 01101000011010101111110011010000 || 01101000011010101111110011010000 |
| 002900 | 00000111110001100011011100001111 || 00000111110001100011011100001111 |
| 002910 | 00000001000100010001110100000010 || 00000001000100010001110100000010 |
| 002920 | 01010110000101101001000110101100 || 01010110000101101001000110101100 |
| 002930 | 00100101101011100100000001001011 || 00100101101011100100000001001011 |
| 002940 | 01000101001101110100100110001010 || 01000101001101110100100110001010 |
| 002950 | 00000100100011001101101000001001 || 00000100100011001101101000001001 |
| 002960 | 00100101100100010011100001001011 || 00100101100100010011100001001011 |
| 002970 | 00101100010101100111000101011000 || 00101100010101100111000101011000 |
| 002980 | 01010101011000010110101010101010 || 01010101011000010110101010101010 |
| 002990 | 00111011011000011100011101110110 || 00111011011000011100011101110110 |
| 003000 | 01001010110001011001010110010101 || 01001010110001011001010110010101 |
| 003010 | 01111101010110001000110111111010 || 01111101010110001000110111111010 |
| 003020 | 01101011010110100000000111010110 || 01101011010110100000000111010110 |
| 003030 | 00001001111000001001000100010011 || 00001001111000001001000100010011 |
| 003040 | 01100001001001001111111111000010 || 01100001001001001111111111000010 |
| 003050 | 00101001110101000111001001010011 || 00101001110101000111001001010011 |
| 003060 | 00111001111010111101001101110011 || 00111001111010111101001101110011 |
| 003070 | 00101110011101111100100001011100 || 00101110011101111100100001011100 |
| 003080 | 00010010011011010010101100100100 || 00010010011011010010101100100100 |
| 003090 | 01110110111100101101110111101101 || 01110110111100101101110111101101 |
| 003100 | 01110010010111010000011111100100 || 01110010010111010000011111100100 |
| 003110 | 01010100010000011101100010101000 || 01010100010000011101100010101000 |
| 003120 | 00101000010111100010111101010000 || 00101000010111100010111101010000 |
| 003130 | 01001010101000110110111010010101 || 01001010101000110110111010010101 |
| 003140 | 01111110100101010010001011111101 || 01111110100101010010001011111101 |
| 003150 | 00010001011100110001000000100010 || 00010001011100110001000000100010 |
| 003160 | 01100000110100001000001011000001 || 01100000110100001000001011000001 |
| 003170 | 00011111001110101010000100111110 || 00011111001110101010000100111110 |
| 003180 | 00011100101000110000101000111001 || 00011100101000110000101000111001 |
| 003190 | 00111111101001111001111001111111 || 00111111101001111001111001111111 |
| 003200 | 00011010001010101111100100110100 || 00011010001010101111100100110100 |
| 003210 | 00011011111011111101010100110111 || 00011011111011111101010100110111 |
| 003220 | 01100001101000110000011011000011 || 01100001101000110000011011000011 |
| 003230 | 01111100000100011001000011111000 || 01111100000100011001000011111000 |
| 003240 | 01001110001110001100101110011100 || 01001110001110001100101110011100 |
| 003250 | 01010000001110110100100010100000 || 01010000001110110100100010100000 |
| 003260 | 00001010000001001011101100010100 || 00001010000001001011101100010100 |
| 003270 | 01111101100001101101010011111011 || 01111101100001101101010011111011 |
| 003280 | 00110001010111111000110101100010 || 00110001010111111000110101100010 |
| 003290 | 01110000000101000001100011100000 || 01110000000101000001100011100000 |
| 003300 | 01011101001100010010111110111010 || 01011101001100010010111110111010 |
| 003310 | 01001110011011110011100010011100 || 01001110011011110011100010011100 |
| 003320 | 00101100001101010011010101011000 || 00101100001101010011010101011000 |
| 003330 | 01001111000011100100001110011110 || 01001111000011100100001110011110 |
| 003340 | 01001010100100001100100110010101 || 01001010100100001100100110010101 |
| 003350 | 01011000100100100110100110110001 || 01011000100100100110100110110001 |
| 003360 | 01000101011101100001101010001010 || 01000101011101100001101010001010 |
| 003370 | 00111000010110001010011101110000 || 00111000010110001010011101110000 |
| 003380 | 01000101111100010100111010001011 || 01000101111100010100111010001011 |
| 003390 | 00010000110001011111011100100001 || 00010000110001011111011100100001 |
| 003400 | 01110010010110101111000111100100 || 01110010010110101111000111100100 |
| 003410 | 00100001100110110000001001000011 || 00100001100110110000001001000011 |
| 003420 | 01001001010010111110010110010010 || 01001001010010111110010110010010 |
| 003430 | 01110000011110110100111011100000 || 01110000011110110100111011100000 |
| 003440 | 00100011010011101101000101000110 || 00100011010011101101000101000110 |
| 003450 | 00010110101100111111000100101101 || 00010110101100111111000100101101 |
| 003460 | 01000001111010110001001110000011 || 01000001111010110001001110000011 |
| 003470 | 01001011001011011011110110010110 || 01001011001011011011110110010110 |
| 003480 | 01000011000001010010111010000110 || 01000011000001010010111010000110 |
| 003490 | 00011100010101101111001100111000 || 00011100010101101111001100111000 |
| 003500 | 00001110111100001011111000011101 || 00001110111100001011111000011101 |
| 003510 | 01101101101100000111001011011011 || 01101101101100000111001011011011 |
| 003520 | 00111101111011111110000101111011 || 00111101111011111110000101111011 |
| 003530 | 00100111100010100110011101001111 || 00100111100010100110011101001111 |
| 003540 | 00010111001111000010110000101110 || 00010111001111000010110000101110 |
| 003550 | 01010101010111000111101110101010 || 01010101010111000111101110101010 |
| 003560 | 00001000000101010001110100010000 || 00001000000101010001110100010000 |
| 003570 | 00101000000001011000100101010000 || 00101000000001011000100101010000 |
| 003580 | 01011100101100000000010010111001 || 01011100101100000000010010111001 |
| 003590 | 00101101000111101100011001011010 || 00101101000111101100011001011010 |
| 003600 | 01110111010001010111101011101110 || 01110111010001010111101011101110 |
| 003610 | 00000011011011100111100000000110 || 00000011011011100111100000000110 |
| 003620 | 01010010110110000100110010100101 || 01010010110110000100110010100101 |
| 003630 | 00011110011001100010000100111100 || 00011110011001100010000100111100 |
| 003640 | 00100111101100011110110101001111 || 00100111101100011110110101001111 |
| 003650 | 00111111011110000011001001111110 || 00111111011110000011001001111110 |
| 003660 | 00011110111100000110100100111101 || 00011110111100000110100100111101 |
| 003670 | 01100011111100010011100111000111 || 01100011111100010011100111000111 |
| 003680 | 00000000111000011100110100000001 || 00000000111000011100110100000001 |
| 003690 | 01111000111000001001010011110001 || 01111000111000001001010011110001 |
| 003700 | 01000111010010010010000110001110 || 01000111010010010010000110001110 |
| 003710 | 01101100011111001001111011011000 || 01101100011111001001111011011000 |
| 003720 | 01010001000010001100111110100010 || 01010001000010001100111110100010 |
| 003730 | 00100101010011100101111001001010 || 00100101010011100101111001001010 |
| 003740 | 00111000000011101001101001110000 || 00111000000011101001101001110000 |
| 003750 | 00111011010100001011110001110110 || 00111011010100001011110001110110 |
| 003760 | 01010100101111010000101010101001 || 01010100101111010000101010101001 |
| 003770 | 01111110000011110010110111111100 || 01111110000011110010110111111100 |
| 003780 | 01100011011011100101101111000110 || 01100011011011100101101111000110 |
| 003790 | 00010100101011111110001000101001 || 00010100101011111110001000101001 |
| 003800 | 01100001000011001111001111000010 || 01100001000011001111001111000010 |
| 003810 | 01010001101101010111111010100011 || 01010001101101010111111010100011 |
| 003820 | 00100011000111010100100101000110 || 00100011000111010100100101000110 |
| 003830 | 01100100001001000011111011001000 || 01100100001001000011111011001000 |
| 003840 | 01000101111101010110000010001011 || 01000101111101010110000010001011 |
